async_na_doc_missing|components/breadcrumb/src/view.rs|0|check2.md
bool_explosion|components/button/src/view.rs|0|6
bool_explosion|components/underlay/src/view.rs|0|7
bool_prefix|components/alert/src/view.rs|106|hide_icon
bool_prefix|components/button/src/view.rs|689|aria_expanded
bool_prefix|components/button/src/view.rs|950|attached
bool_prefix|components/icon/src/view.rs|11|disabled
bool_prefix|components/icon/src/view.rs|12|decorative
bool_prefix|components/image/src/view.rs|11|disable_skeleton
bool_prefix|components/pagination/src/view.rs|14|disabled
bool_prefix|components/snippet/src/view.rs|15|copyable
bool_prefix|components/snippet/src/view.rs|21|copied
bool_prefix|components/text/src/view.rs|13|disabled
bool_prefix|components/text/src/view.rs|14|truncate
bool_prefix|components/underlay/src/view.rs|12|open
bool_prefix|components/underlay/src/view.rs|17|transparent
bool_prefix|components/underlay/src/view.rs|19|disabled
drag_frame_cross_logic|components/menu/src/item/view.rs|0|pointermove->logic
drag_frame_cross_logic|components/menu/src/view.rs|0|pointermove->logic
drag_missing_local_loop|components/menu/src/item/view.rs|0|view/motion-local-loop
drag_missing_terminal_action|components/menu/src/item/view.rs|0|DragEnd
drag_missing_terminal_action|components/menu/src/view.rs|0|DragEnd
event_light_cone_missing_bus_selector|components/table/src/view.rs|0|Context+Selector
hardcoded_visible_text|components/alert/src/view.rs|178|literal
hardcoded_visible_text|components/alert/src/view.rs|180|literal
hardcoded_visible_text|components/button/src/view.rs|146|literal
hardcoded_visible_text|components/button/src/view.rs|555|literal
hardcoded_visible_text|components/button/src/view.rs|589|literal
hardcoded_visible_text|components/button/src/view.rs|914|literal
hardcoded_visible_text|components/button/src/view.rs|916|literal
hardcoded_visible_text|components/button/src/view.rs|977|literal
hardcoded_visible_text|components/button/src/view.rs|979|literal
hardcoded_visible_text|components/image/src/view.rs|24|literal
hardcoded_visible_text|components/image/src/view.rs|26|literal
hardcoded_visible_text|components/pagination/src/view.rs|126|literal
hardcoded_visible_text|components/pagination/src/view.rs|128|literal
hardcoded_visible_text|components/snippet/src/view.rs|101|literal
hardcoded_visible_text|components/snippet/src/view.rs|103|literal
hardcoded_visible_text|components/snippet/src/view.rs|97|literal
hardcoded_visible_text|components/snippet/src/view.rs|99|literal
hardcoded_visible_text|components/text/src/view.rs|38|literal
hardcoded_visible_text|components/text/src/view.rs|40|literal
hardcoded_visible_text|components/text/src/view.rs|42|literal
i18n_l10n_hook_missing|components/breadcrumb/src/view.rs|0|lang/dir/i18n
i18n_l10n_hook_missing|components/icon/src/view.rs|0|lang/dir/i18n
i18n_l10n_hook_missing|components/item/src/view.rs|0|lang/dir/i18n
i18n_l10n_hook_missing|components/text/src/view.rs|0|lang/dir/i18n
logic_framework_binding|components/snippet/src/logic.rs|124|Signal
logic_framework_binding|components/snippet/src/logic.rs|125|Signal
logic_framework_binding|components/snippet/src/logic.rs|69|Signal
logic_framework_binding|components/snippet/src/logic.rs|77|Signal
logic_framework_binding|components/snippet/src/logic.rs|87|Signal
logic_framework_binding|components/snippet/src/logic.rs|88|Signal
logic_framework_binding|components/snippet/src/logic.rs|89|Signal
logic_framework_binding|components/snippet/src/logic.rs|90|Signal
logic_framework_binding|components/snippet/src/logic.rs|91|Signal
logic_framework_binding|components/snippet/src/logic.rs|94|Signal
logic_framework_binding|components/underlay/src/logic.rs|25|Signal
logic_framework_binding|components/underlay/src/logic.rs|26|Signal
logic_framework_binding|components/underlay/src/logic.rs|33|Signal
logic_style_branch_forbidden|components/action-bar/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/alert/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/breadcrumb/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/button/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/icon/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/snippet/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/text/src/logic.rs|0|ui-* class details
logic_style_branch_forbidden|components/underlay/src/logic.rs|0|ui-* class details
mod_impl_detail_forbidden|components/icon/src/mod.rs|17|impl/type in mod.rs
mod_impl_detail_forbidden|components/icon/src/mod.rs|29|impl/type in mod.rs
mod_impl_detail_forbidden|components/text/src/mod.rs|22|impl/type in mod.rs
mod_impl_detail_forbidden|components/text/src/mod.rs|9|impl/type in mod.rs
observability_source_marker_missing|components/pagination/src/view.rs|0|data-*-source
registration_hashset_forbidden|components/accordion/src/check2.md|113|HashSet-order
registration_hashset_forbidden|components/menu/src/view.rs|27|HashSet-order
registration_hashset_forbidden|components/menu/src/view.rs|29|HashSet-order
registration_hashset_forbidden|components/menu/src/view.rs|3|HashSet-order
registration_hashset_forbidden|components/tabs/src/view.rs|274|HashSet-order
registration_hashset_forbidden|components/tabs/src/view.rs|47|HashSet-order
registration_hashset_forbidden|components/tabs/src/view.rs|4|HashSet-order
registration_protocol_missing|components/menu/src|0|Register/Unregister/items_order
registration_protocol_missing|components/tabs/src|0|Register/Unregister/items_order
semantic_test_fragile_selector|crates/ui-components/tests/action_bar_semantics.rs|0|dom-depth-selector
semantic_test_fragile_selector|crates/ui-components/tests/alert_semantics.rs|0|dom-depth-selector
semantic_test_fragile_selector|crates/ui-components/tests/button_semantics.rs|0|dom-depth-selector
semantic_test_fragile_selector|crates/ui-components/tests/snippet_semantics.rs|0|dom-depth-selector
semantic_test_matrix_platform_missing|crates/ui-components/tests/image_semantics.rs|0|ssr/wasm
semantic_test_matrix_pointer_missing|crates/ui-components/tests/image_semantics.rs|0|pointer
slot_projection_strategy_missing|components/menu/src|0|Lazy/KeepAlive/Eager
slot_projection_strategy_missing|components/popover/src|0|Lazy/KeepAlive/Eager
slot_projection_strategy_missing|components/tabs/src|0|Lazy/KeepAlive/Eager
slot_projection_strategy_missing|components/tooltip/src|0|Lazy/KeepAlive/Eager
styles_private_token_forbidden|components/action-bar/src/styles.rs|101|--(non-ui)-*
styles_private_token_forbidden|components/action-bar/src/styles.rs|106|--(non-ui)-*
styles_private_token_forbidden|components/action-bar/src/styles.rs|111|--(non-ui)-*
